::1 - - [04/Mar/2013:14:48:51 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:48:52 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:48:53 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:48:54 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:48:57 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:48:58 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:48:59 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:49:00 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
180.76.5.48 - - [04/Mar/2013:14:48:59 -0600] "GET /resources/job-board/01/2013/copywriter HTTP/1.1" 200 5669 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
::1 - - [04/Mar/2013:14:49:01 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:49:02 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:49:03 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:49:09 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:49:11 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
66.249.73.151 - - [04/Mar/2013:14:49:39 -0600] "GET /robots.txt HTTP/1.1" 200 649 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::1 - - [04/Mar/2013:14:49:41 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
66.249.73.151 - - [04/Mar/2013:14:49:39 -0600] "GET /about-dsvc/dsvc-news/04/2009/2009-how-design-conference-dsvc-discount HTTP/1.1" 200 10372 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::1 - - [04/Mar/2013:14:49:44 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:49:45 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
::1 - - [04/Mar/2013:14:49:46 -0600] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.14 (CentOS) (internal dummy connection)"
